0.1	Boolean retrieval
0.17.2	Single-link and complete-link clustering
0.17.2.1	Time complexity of HAC
0.17.3	Group-average agglomerative clustering
0.17.4	Centroid clustering
0.17.5	Optimality of HAC
0.17.6	Divisive clustering
0.17.7	Cluster labeling
0.17.8	Implementation notes
0.17.9	References and further reading
0.17.10	Exercises
0.18	Matrix decompositions and latent semantic indexing
0.18.1	Linear algebra review
0.18.1.1	Matrix decompositions
0.18.2	Term-document matrices and singular value decompositions
0.18.3	Low-rank approximations
0.18.4	Latent semantic indexing
0.18.5	References and further reading
0.19	Web search basics
0.19.1	Background and history
0.19.2	Web characteristics
0.19.2.1	The web graph
0.19.2.2	Spam
0.19.3	Advertising as the economic model
0.19.4	The search user experience
0.19.4.1	User query needs
0.19.5	Index size and estimation
0.19.6	Near-duplicates and shingling
0.19.7	References and further reading
0.20	Web crawling and indexes
0.20.1	Overview
0.20.1.1	Features a crawler must provide
0.20.1.2	Features a crawler should provide
0.20.2	Crawling
0.20.2.1	Crawler architecture
0.20.2.2	DNS resolution
0.20.2.3	The URL frontier
0.20.3	Distributing indexes
0.20.4	Connectivity servers
0.20.5	References and further reading
0.21	Link analysis
0.21.1	The Web as a graph
0.21.1.1	Anchor text and the web graph
0.21.2	PageRank
0.21.2.1	Markov chains
0.21.2.2	The PageRank computation
0.21.2.3	Topic-specific PageRank
0.21.3	Hubs and Authorities
0.21.3.1	Choosing the subset of the Web
0.21.4	References and further reading
